kit_slug,method_version,total,normalised,coverage,maintenance,completeness,transparency,documentation,support,breakdown,computed_at
apptension-saas-boilerplate,1.0,79,79,1,23,25,20,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":23,""cadence"":3,""recency"":15,""measured"":true,""days_since_commit"":2},""completeness"":{""of"":14,""max"":25,""found"":14,""points"":25,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
async-labs-saas,1.0,39.9,39.9,1,3,8.9,17,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":3,""points"":3,""cadence"":0,""recency"":0,""measured"":true,""days_since_commit"":531},""completeness"":{""of"":14,""max"":25,""found"":5,""points"":8.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
basejump,1.0,60.4,60.4,1,18,5.4,20,11,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":3,""points"":18,""cadence"":0,""recency"":15,""measured"":true,""days_since_commit"":29},""completeness"":{""of"":14,""max"":25,""found"":3,""points"":5.4,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":16,""points"":11,""measured"":true}}",2026-09-04T05:41:51.436+00:00
boxyhq-saas-starter,1.0,61.9,61.9,1,13,17.9,20,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Community Discord / Slack"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":13,""cadence"":0,""recency"":8,""measured"":true,""days_since_commit"":118},""completeness"":{""of"":14,""max"":25,""found"":10,""points"":17.9,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.435+00:00
bullet-train,1.0,92.2,92.2,1,30,23.2,20,13,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Community Discord / Slack"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":30,""cadence"":10,""recency"":15,""measured"":true,""days_since_commit"":19},""completeness"":{""of"":14,""max"":25,""found"":13,""points"":23.2,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":37,""points"":13,""measured"":true}}",2026-09-04T05:41:51.436+00:00
chadnext,1.0,42.5,42.5,1,7,12.5,17,0,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":3,""points"":7,""cadence"":0,""recency"":4,""measured"":true,""days_since_commit"":260},""completeness"":{""of"":14,""max"":25,""found"":7,""points"":12.5,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
cookiecutter-django,1.0,75.7,75.7,1,30,10.7,20,9,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""Community Discord / Slack"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":30,""cadence"":10,""recency"":15,""measured"":true,""days_since_commit"":0},""completeness"":{""of"":14,""max"":25,""found"":6,""points"":10.7,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":20,""source"":6,""licence"":4,""measured"":true,""changelog"":3},""documentation"":{""max"":15,""kind"":""site"",""pages"":3,""points"":9,""measured"":true}}",2026-09-04T05:41:51.436+00:00
create-t3-turbo,1.0,42.4,42.4,1,9,5.4,17,5,6,"{""support"":{""max"":10,""points"":6,""stated"":true,""channel"":""GitHub issues"",""measured"":true},""maintenance"":{""max"":30,""hands"":5,""points"":9,""cadence"":0,""recency"":4,""measured"":true,""days_since_commit"":266},""completeness"":{""of"":14,""max"":25,""found"":3,""points"":5.4,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":17,""source"":6,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""readme"",""pages"":null,""points"":5,""measured"":true}}",2026-09-04T05:41:51.436+00:00
divjoy,1.0,19.4,27.7,0.7,,5.4,4,0,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":3,""points"":5.4,""measured"":true},""transparency"":{""max"":20,""docs"":0,""price"":0,""points"":4,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""none"",""pages"":null,""points"":0,""measured"":true}}",2026-09-04T05:41:51.436+00:00
gravity,1.0,52.1,74.4,0.7,,16.1,11,15,10,"{""support"":{""max"":10,""points"":10,""stated"":true,""channel"":""Private Discord community"",""measured"":true},""maintenance"":{""max"":30,""why"":""no public surface to measure this on"",""measured"":false},""completeness"":{""of"":14,""max"":25,""found"":9,""points"":16.1,""measured"":true},""transparency"":{""max"":20,""docs"":3,""price"":4,""points"":11,""source"":0,""licence"":4,""measured"":true,""changelog"":0},""documentation"":{""max"":15,""kind"":""site"",""pages"":72,""points"":15,""measured"":true}}",2026-09-04T05:41:51.436+00:00
