day,format,repo_count,config_count,median_words,p90_words,median_stars,total_stars,share_pct,with_commands_pct,with_code_pct,median_quality
2026-08-01,agents-md,326,1155,1359,2985,123,45494818,55.35,39.91,33.59,48
2026-08-01,claude-md,209,730,2097,2989,111,10433709,35.48,32.47,32.47,44
2026-08-01,cline-rules,64,242,250,1579,2,652660,10.87,34.3,29.75,54
2026-08-01,copilot-instructions,110,288,416,1331,18118,13410079,18.68,40.97,48.61,60
2026-08-01,cursor-rules,171,1241,268,1167,24,1859268,29.03,29.9,58.1,52
2026-08-01,cursorrules,19,245,296,800,28,120327,3.23,7.35,11.02,38
2026-08-01,gemini-md,29,42,257,2055,9728,2552097,4.92,57.14,45.24,60
2026-08-01,windsurf-rules,13,101,502,1527,110,136278,2.21,37.62,70.3,58
2026-08-02,agents-md,396,1380,936,2953,9845,55412335,57.06,43.19,36.01,52
2026-08-02,claude-md,248,775,2042,2998,112,11083234,35.73,34.19,34.45,44
2026-08-02,cline-rules,78,301,250,1466,1,689478,11.24,33.22,32.23,54
2026-08-02,copilot-instructions,127,310,417,1328,18123,13906524,18.3,41.94,48.06,60
2026-08-02,cursor-rules,179,1277,272,1173,24,2042843,25.79,29.37,58.1,52
2026-08-02,cursorrules,27,308,365,1104,26,136640,3.89,13.64,25,41
2026-08-02,gemini-md,33,46,257,1704,11287,2608568,4.76,52.17,45.65,60
2026-08-02,windsurf-rules,14,102,515,1518,113,151517,2.02,37.25,70.59,58
2026-08-03,agents-md,396,1366,954,2955,8629,50051216,56.98,42.9,36.46,52
2026-08-03,claude-md,248,775,2042,2998,112,11090357,35.68,34.06,34.45,44
2026-08-03,cline-rules,79,305,262,1412,1,690320,11.37,34.1,33.11,54
2026-08-03,copilot-instructions,126,309,417,1329,18124,13528258,18.13,41.75,48.22,60
2026-08-03,cursor-rules,179,1279,272,1171,24,2043980,25.76,29.32,58.01,52
2026-08-03,cursorrules,27,308,365,1104,26,136643,3.88,13.64,25,41
2026-08-03,gemini-md,33,46,257,1704,11297,2610114,4.75,52.17,45.65,60
2026-08-03,windsurf-rules,14,102,515,1518,114,152073,2.01,37.25,70.59,58
2026-08-04,agents-md,399,1373,953,2956,9402,50922890,57.16,42.75,35.98,52
2026-08-04,claude-md,248,775,2042,2998,114,11104137,35.53,34.19,34.45,44
2026-08-04,cline-rules,79,305,262,1412,1,691844,11.32,34.1,33.11,54
2026-08-04,copilot-instructions,126,309,417,1299,18123,13536129,18.05,41.42,48.22,60
2026-08-04,cursor-rules,179,1280,272,1170,24,2137055,25.64,29.38,58.05,52
2026-08-04,cursorrules,27,308,366,1104,26,136649,3.87,13.64,25,41
2026-08-04,gemini-md,33,46,257,1704,11320,2612069,4.73,52.17,45.65,60
2026-08-04,windsurf-rules,14,102,515,1518,119,153514,2.01,37.25,70.59,58
2026-08-06,agents-md,403,1378,948,2954,9419,51244138,57,42.89,36.21,52
2026-08-06,claude-md,252,787,2005,3000,122,11165410,35.64,34.82,34.69,44
2026-08-06,cline-rules,80,309,251,1359,1,694482,11.32,33.66,32.69,54
2026-08-06,copilot-instructions,126,309,417,1299,18163,13552662,17.82,41.42,48.22,60
2026-08-06,cursor-rules,183,1290,275,1180,25,2141932,25.88,29.38,58.06,52
2026-08-06,cursorrules,27,308,366,1104,26,136671,3.82,13.64,25,41
2026-08-06,gemini-md,34,47,255,1616,10455,2616359,4.81,48.94,44.68,56
2026-08-06,windsurf-rules,14,102,515,1518,127,155773,1.98,37.25,70.59,58
