category,kind,listings,repositories,listings_that_do_not_load,listings_that_load,mean_score,official,archived_repository,with_a_license,total_repository_stars
ai-agents,marketplace,8559,8090,71,8488,63.64,16,21,6251,5508289
ai-agents,plugin,23064,8494,37,23027,64.37,84,32,19772,25152143
ai-agents,skill,199465,14328,15708,183757,69.68,103,587,133280,213223904
ai-agents,subagent,49685,6780,12889,36796,64.54,49,223,28673,56901707
backend,marketplace,67,67,1,66,63.58,0,0,46,6894
backend,plugin,627,329,0,627,61.77,0,0,533,47741
backend,skill,19052,4892,1167,17885,69.09,26,27,11091,8121445
backend,subagent,3058,1542,341,2717,65.74,0,1,1355,1304232
code-review,marketplace,127,127,1,126,63.61,0,0,85,45143
code-review,plugin,1351,848,0,1351,63.08,8,2,1040,687175
code-review,skill,35797,9175,1369,34428,69.6,50,35,19805,23660817
code-review,subagent,12403,4608,1510,10893,67.21,14,21,6463,5046435
data,marketplace,44,44,1,43,64.57,0,0,29,38104
data,plugin,493,251,1,492,61.23,3,1,434,101793
data,skill,12510,3556,709,11801,69.66,12,41,7144,15025686
data,subagent,1987,1055,150,1837,65.24,0,2,861,801490
debugging,marketplace,9,9,1,8,57.67,0,0,5,226
debugging,plugin,147,115,0,147,62.5,0,0,100,18592
debugging,skill,7535,4082,255,7280,69.73,15,11,4202,5749458
debugging,subagent,1333,954,164,1169,66.58,1,5,628,572671
devops,marketplace,87,87,2,85,62.34,0,0,57,11904
devops,plugin,875,451,2,873,61.49,1,1,752,120144
devops,skill,25477,4215,1680,23797,68.74,17,69,13933,5686750
devops,subagent,3612,1456,450,3162,65.31,1,0,1767,1074573
finance-legal,marketplace,21,21,1,20,61,0,0,13,742
finance-legal,plugin,414,127,1,413,61.39,15,0,371,180357
finance-legal,skill,6806,1694,471,6335,69.26,100,5,4314,1889365
finance-legal,subagent,1014,483,161,853,65.8,4,0,436,90081
frontend,marketplace,162,158,6,156,61.46,1,0,111,531879
frontend,plugin,972,586,0,972,61.41,4,0,797,723685
frontend,skill,30017,6388,1313,28704,69.37,76,39,16553,49343042
frontend,subagent,5824,2331,800,5024,65.58,1,9,2596,3375258
general,skill,47377,4052,7816,39561,64.58,53,3,25743,20400768
general,subagent,6025,1178,2876,3149,58.11,0,1,2816,1291433
git,marketplace,21,21,0,21,63.05,0,0,19,887
git,plugin,420,301,0,420,63.15,2,0,305,201684
git,skill,12486,4987,269,12217,70.48,2,24,7089,10358013
git,subagent,1416,870,344,1072,64.44,0,1,761,462261
languages,marketplace,53,52,2,51,63.6,0,0,37,44618
languages,plugin,400,268,1,399,62.28,0,2,342,45888
languages,skill,11090,2855,659,10431,69.3,4,25,6852,7974560
languages,subagent,2733,835,296,2437,66.04,0,3,1498,988780
media,marketplace,33,33,1,32,62.94,0,0,24,54553
media,plugin,227,165,0,227,63.75,0,0,192,166648
media,skill,11593,3062,333,11260,70.86,29,22,7190,8433536
media,subagent,690,366,100,590,66.47,1,0,311,219505
mobile,marketplace,76,74,0,76,64.07,0,0,60,30588
mobile,plugin,299,204,0,299,62.99,0,0,228,54971
mobile,skill,8061,1916,867,7194,68.97,13,9,4941,3055788
mobile,subagent,1618,612,268,1350,65.8,0,0,874,1565496
office-files,marketplace,13,13,0,13,66.85,0,0,12,71041
office-files,plugin,87,72,0,87,63.64,1,0,69,99969
office-files,skill,4597,1810,147,4450,69.68,17,8,3228,2706020
office-files,subagent,174,94,16,158,67.26,0,0,96,260679
productivity,marketplace,50,50,1,49,61.82,0,0,32,1955
productivity,plugin,461,325,0,461,62.75,6,0,335,97168
productivity,skill,17108,5092,610,16498,69.47,52,38,9718,9190455
productivity,subagent,1942,1046,227,1715,66.84,1,3,970,183283
research,marketplace,995,968,26,969,60.73,3,0,619,699426
research,plugin,882,496,0,882,62.74,7,0,761,365906
research,skill,27228,5424,1685,25543,68.93,46,26,15765,16217074
research,subagent,5259,1984,951,4308,65.53,2,12,2330,2343579
security,marketplace,82,80,1,81,62.66,0,0,55,20637
security,plugin,800,455,1,799,62.45,1,3,690,357442
security,skill,23599,5462,2837,20762,68.89,16,36,15317,17043756
security,subagent,4576,2394,590,3986,66.81,2,5,2517,1469130
testing-qa,marketplace,88,88,0,88,63.5,0,0,62,9154
testing-qa,plugin,1134,618,17,1117,62.64,0,1,978,143013
testing-qa,skill,32089,8006,1131,30958,69.56,28,54,18094,22779434
testing-qa,subagent,8247,3630,816,7431,66.73,2,14,4235,3324147
writing-docs,marketplace,173,172,3,170,62.38,0,0,128,38017
writing-docs,plugin,1528,942,0,1528,62.8,6,0,1243,410793
writing-docs,skill,52163,10228,1406,50757,69.45,72,123,28855,32122742
writing-docs,subagent,10544,3867,2190,8354,64.83,11,21,5365,4496883
