tool_slug,captured_on,verdict,freshness,days_since_push,recent_commits,release_gap_days,issue_response_hours,contributors_90d,stars,open_issues,archived,reasons,captured_at
500-ai-agents-projects,2026-08-01,maintained,100,5,17,,,5,35557,36,false,"[{""fact"":""last commit"",""detail"":""Pushed 5 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""17 commits in the last 12 weeks."",""effect"":3},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
9router,2026-08-01,maintained,100,2,100,16,,46,24313,807,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v0.5.35 16 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""46 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
academic-research-skills,2026-08-01,maintained,100,0,100,10,12.6,5,40445,16,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v3.19.0 10 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 13 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
activepieces,2026-08-01,maintained,100,0,100,12,,17,23540,363,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released 0.86.3-rc.10 12 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""17 people committed in the last 90 days."",""effect"":5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
adk-python,2026-08-01,maintained,100,0,100,0,10,34,20967,346,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.6.1 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 10 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""34 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
ag2,2026-08-01,maintained,100,0,100,3,,11,4822,7,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.0.1 3 days ago; 29 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""11 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
agency-agents-zh,2026-08-01,maintained,100,1,97,46,111.2,9,18642,3,false,"[{""fact"":""last commit"",""detail"":""Pushed 1 day ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""97 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.2.6 46 days ago; 6 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Median first maintainer reply: 5 days."",""effect"":2},{""fact"":""maintainers"",""detail"":""9 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
agent-framework,2026-08-01,maintained,100,0,100,1,,32,12532,527,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released python-1.13.0 1 day ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""32 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
agent-kit,2026-08-01,stale,35,93,0,261,,0,918,34,false,"[{""fact"":""last commit"",""detail"":""No push in 93 days. That is longer than a quarter."",""effect"":-25},{""fact"":""commit volume"",""detail"":""No commits at all in the last 12 weeks."",""effect"":-6},{""fact"":""releases"",""detail"":""Last release 261 days ago against a 4-day cadence — over three times its own gap."",""effect"":-12},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""Nobody has committed in the last 90 days."",""effect"":-8}]",2026-08-01T18:27:06.641092+00:00
agent-reach,2026-08-01,maintained,100,7,85,51,,10,63830,81,false,"[{""fact"":""last commit"",""detail"":""Pushed 7 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""85 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v1.5.0 51 days ago; 7 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""10 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
agent-skills,2026-08-01,maintained,100,6,100,6,20.6,20,81229,55,false,"[{""fact"":""last commit"",""detail"":""Pushed 6 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released 0.6.5 6 days ago; 7 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Maintainers reply to new issues in about 21 hours."",""effect"":6},{""fact"":""maintainers"",""detail"":""20 people committed in the last 90 days."",""effect"":5}]",2026-08-01T18:27:06.641092+00:00
agent-squad,2026-08-01,maintained,100,3,90,18,,5,7727,29,false,"[{""fact"":""last commit"",""detail"":""Pushed 3 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""90 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released typescript_1.1.4 18 days ago; 9 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
agent-zero,2026-08-01,maintained,100,0,100,0,,2,18689,92,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""Released v2.8 0 days ago; 30 releases in the last year."",""effect"":4},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""2 people committed in the last 90 days."",""effect"":2},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
agentgpt,2026-08-01,dead,0,459,0,1003,,0,36295,132,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-01T18:27:06.641092+00:00
agentic,2026-08-01,dead,0,171,0,379,,0,18120,13,true,"[{""fact"":""archived"",""detail"":""The owner has archived the repository. It is read-only on GitHub."",""effect"":-100}]",2026-08-01T18:27:06.641092+00:00
agenticseek,2026-08-01,maintained,90,0,46,,874.8,5,26719,30,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""46 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""New issues wait 36 days for a first maintainer reply."",""effect"":-12},{""fact"":""maintainers"",""detail"":""5 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
agents-for-beginners,2026-08-01,maintained,100,2,100,,,6,70903,0,false,"[{""fact"":""last commit"",""detail"":""Pushed 2 days ago."",""effect"":0},{""fact"":""commit volume"",""detail"":""100+ commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""6 people committed in the last 90 days."",""effect"":2}]",2026-08-01T18:27:06.641092+00:00
agents-towards-production,2026-08-01,maintained,89,0,30,,,1,21221,7,false,"[{""fact"":""last commit"",""detail"":""Pushed today."",""effect"":0},{""fact"":""commit volume"",""detail"":""30 commits in the last 12 weeks."",""effect"":6},{""fact"":""releases"",""detail"":""No tagged releases. Version history has to be read from commits."",""effect"":-2},{""fact"":""issue response"",""detail"":""Not enough recent issues to measure a response time."",""effect"":0},{""fact"":""maintainers"",""detail"":""One person has committed in the last 90 days. Single point of failure."",""effect"":-5},{""fact"":""license"",""detail"":""No license file — legally unsafe to depend on regardless of activity."",""effect"":-6}]",2026-08-01T18:27:06.641092+00:00
