captured_on,time_window,app_slug,app_title,tool_slug,categories,rank,total_tokens,total_requests
2026-08-01,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",1,7523159878292,84502588
2026-08-01,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",5,1796483460899,24410631
2026-08-01,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",6,1788473608951,19525936
2026-08-01,week,openclaw,OpenClaw,,"[""personal-agent"",""cli-agent""]",7,1075566162739,22516029
2026-08-01,week,pi,pi,,"[""cli-agent""]",8,767373495038,14849163
2026-08-01,week,cline,Cline,cline,"[""ide-extension"",""cli-agent""]",9,619142743149,6011903
2026-08-01,week,4132065,"Hello Minds, powered by Ethoswarm",,"[""roleplay"",""personal-agent"",""creative-writing""]",10,436864830670,1935841
2026-08-01,week,descript,Descript,,"[""video-gen""]",11,419531217658,5307485
2026-08-01,week,codex,Codex,codex-cli,"[""cli-agent""]",13,321370654951,3227633
2026-08-01,week,isekai-zero,ISEKAI ZERO,,"[""game""]",14,252115289915,6760688
2026-08-01,week,janitor-ai,Janitor AI,,"[""roleplay""]",15,242511162837,17387117
2026-08-01,week,2640550,Peezy Gateway,,"[""programming-app"",""personal-agent"",""general-chat"",""cli-agent""]",18,224062160940,3800306
2026-08-01,week,1275184,Codebuff,,"[""cli-agent""]",19,210628508890,5680121
2026-08-01,week,portkey-ai,Portkey AI,,"[""programming-app""]",20,200292444352,6605777
2026-08-01,week,3682314,Oh-My-Pi,,"[""cli-agent""]",21,176780081109,1568373
2026-08-01,week,lemonade,Lemonade,,"[""programming-app""]",22,145140431761,4365901
2026-08-01,week,nous-research-api,Nous Research API,,"[""general-chat""]",23,142046295265,5209397
2026-08-01,week,stan,Sahasra,,[],24,131141629376,2052241
2026-08-01,week,pieces,Pieces.app: Ambient Artificial Memory,,"[""personal-agent""]",25,116841153787,13554498
2026-08-01,week,171054,HackerAI,,[],26,113793652980,2730963
2026-08-02,week,hermes-agent,Hermes Agent,,"[""personal-agent"",""cli-agent""]",1,8071063189073,89447440
2026-08-02,week,kilo-code,Kilo Code,kilo-code,"[""cli-agent"",""ide-extension""]",5,1926176554115,25648397
2026-08-02,week,claude-code,Claude Code,claude-code,"[""cli-agent""]",6,1878303064324,20230328
